Date Received,Product Name,Sub Product,Issue,Sub Issue,Consumer Complaint Narrative,Company Public Response,Company,State Name,Zip Code,Tags,Consumer Consent Provided,Submitted via,Date Sent to Company,Company Response to Consumer,Timely Response,Consumer Disputed,Complaint ID
2013-07-29,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Wells Fargo & Company,VA,24540,,N/A,Phone,2013-07-30,Closed with explanation,Yes,No,468882
2013-07-29,Bank account or service,Checking account,Using a debit or ATM card,,,,Wells Fargo & Company,CA,95992,Older American,N/A,Web,2013-07-31,Closed with explanation,Yes,No,468889
2013-07-29,Bank account or service,Checking account,"Account opening, closing, or management",,,,Santander Bank US,NY,10065,,N/A,Fax,2013-07-31,Closed,Yes,No,468879
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,GA,30084,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,468949
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Franklin Credit Management,CT,6106,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,475823
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,TX,75025,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,468981
2013-07-29,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"NRA Group, LLC",VA,20147,,N/A,Web,2013-08-07,Closed with non-monetary relief,Yes,No,467801
2013-07-29,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,,,"SunTrust Banks, Inc.",FL,32818,,N/A,Referral,2013-08-01,Closed with explanation,Yes,Yes,475728
2013-07-29,Credit card,,Billing statement,,,,Citibank,OH,45247,,N/A,Referral,2013-07-30,Closed with explanation,Yes,Yes,469026
2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,NV,89511,,N/A,Referral,2013-07-30,Closed with explanation,Yes,Yes,469035
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,NC,27949,,N/A,Referral,2013-07-30,Closed with non-monetary relief,Yes,No,469037
2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMorgan Chase & Co.,CA,90703,,N/A,Referral,2013-07-30,Closed with explanation,Yes,No,469284
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,CA,95821,,N/A,Referral,2013-07-31,Closed with explanation,Yes,Yes,480488
2013-07-29,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,"Asset Management Professionals, LLC",PA,19145,Older American,N/A,Phone,2013-08-01,Closed with explanation,No,,468904
2013-07-29,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,Wells Fargo & Company,PA,19145,Older American,N/A,Phone,2013-08-01,Closed with non-monetary relief,Yes,No,468905
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,NY,14092,,N/A,Phone,2013-07-31,Closed with explanation,Yes,No,469057
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,33426,,N/A,Web,2013-07-31,Closed with explanation,Yes,Yes,469060
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,NY,10019,,N/A,Web,2013-07-30,Closed with explanation,Yes,Yes,469070
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Citibank,NJ,7604,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,472236
2013-07-29,Credit card,,APR or interest rate,,,,Synchrony Financial,WA,98548,,N/A,Web,2013-07-29,Closed with monetary relief,Yes,No,469131
2013-07-29,Credit reporting,,Credit monitoring or identity protection,Problem cancelling or closing account,,,Experian,CA,90034,,N/A,Web,2013-07-29,Closed with monetary relief,Yes,No,474204
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,HI,96793,,N/A,Web,2013-07-31,Closed with explanation,Yes,No,469138
2013-07-29,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,JPMorgan Chase & Co.,FL,32825,,N/A,Postal mail,2013-07-30,Closed with explanation,Yes,No,469143
2013-07-29,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Wells Fargo & Company,NY,10605,,N/A,Web,2013-07-31,Closed with non-monetary relief,Yes,No,480173
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NY,14467,,N/A,Referral,2013-07-30,Closed with explanation,Yes,Yes,469360
2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,U.S. Bancorp,CA,92591,,N/A,Referral,2013-07-31,Closed with monetary relief,Yes,No,469632
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",,,,Bank of America,IL,60443,,N/A,Web,2013-08-01,Closed with explanation,Yes,No,469173
2013-07-29,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,Wells Fargo & Company,CA,96088,,N/A,Web,2013-08-01,Closed with explanation,Yes,No,469185
2013-07-29,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,CA,91605,,N/A,Web,2013-07-29,Closed with non-monetary relief,Yes,No,469201
2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",OH,45150,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469210
2013-07-29,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Northland Group, Inc.",FL,32233,Servicemember,N/A,Referral,2013-08-01,Closed with explanation,Yes,No,469252
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SunTrust Banks, Inc.",FL,32084,,N/A,Referral,2013-08-02,Closed with non-monetary relief,Yes,No,469863
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,FL,33234,,N/A,Web,2013-07-30,Closed with non-monetary relief,Yes,No,469255
2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"SunTrust Banks, Inc.",FL,32505,,N/A,Referral,2013-08-02,Closed,Yes,No,469811
2013-07-29,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Santander Consumer USA Holdings Inc,CA,92677,,N/A,Referral,2013-08-05,Closed,Yes,Yes,479329
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Land/Home Financial Services,MI,48382,,N/A,Fax,2013-08-06,Closed with explanation,No,,454668
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NJ,8530,,N/A,Postal mail,2013-07-30,Closed with monetary relief,Yes,No,475273
2013-07-29,Credit card,,Delinquent account,,,,Amex,TX,78232,,N/A,Web,2013-07-29,Closed with monetary relief,Yes,No,479990
2013-07-29,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,GA,30041,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469293
2013-07-29,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,Wells Fargo & Company,TX,77381,,N/A,Postal mail,2013-07-30,Closed with explanation,Yes,No,469309
